v0303,v0304,v0331,v0332,v0333,v0336,v0341,v0342,v0343,v0346,v0351,v0352,v0353,v0356,v0361,v0362,v0363,v0366,v0371,v0372,v0373,v0376,v0381,v0382,v0383,v0386,v0391,v0392,v0393,v0396,v0401,v0402,v0403,v0406,v0411,v0412,v0413,v0416,v0421,v0422,v0423,v0426,personid,male,birthyear,ageatsurvey,birthplaceurban,birthplaceprov,yr_married,edu,noedu,primary,hs,degree,edcat,totmoves,begprov,begplaceurban,jobbefore1,jobafter1,mt1cat,yrmove1,agewhenmoved1,upmove1,downmove1,neutralmove1,prov1,prov2,prov3,prov4,prov5,prov6,prov7,prov8,prov9,prov10,startjob1,startjob2,startjob3,startjob4,startjob5,mvetype1,mvetype2,mvetype3,mvetype4
Eastern ,270,Western ,106,Urban,1982,Eastern ,270,Urban,1986,Western ,106,Urban,1987,,,,,,,,,,,,,,,,,,,,,Eastern ,270,Urban,1989,Western ,106,Urban,1992,90,0,1962,37,1,3,1978,6,0,1,0,0,1,5,2,1,4,4,2,1982,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,268,Western ,106,Urban,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,268,Urban,1987,Western ,106,Urban,1998,91,0,1978,20,0,3,9999,11,0,0,1,0,2,3,2,1,4,4,2,1987,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,244,Gauteng,711,Urban,1990,Eastern ,244,Urban,1990,Western ,130,Urban,1992,,,,,,,,,,,,,,,,,,,,,Eastern ,244,Urban,1992,Western ,106,Urban,1995,92,0,1973,26,1,3,9999,14,0,0,0,1,3,5,8,1,4,4,2,1990,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Eastern ,218,Western ,106,Urban,1972,Eastern ,268,Rural,1973,Western ,106,Urban,1985,Eastern ,268,Rural,1985,Western ,106,Urban,1989,,,,,,,,,,,,,Eastern ,268,Rural,1989,Western ,106,Urban,1996,93,0,1948,51,0,3,1972,5,0,1,0,0,1,7,2,1,4,4,4,1972,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1984,94,1,1970,29,1,3,9999,12,0,0,1,0,2,1,2,1,4,4,1,1984,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Eastern ,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1994,95,1,1970,28,1,3,9999,9,0,0,1,0,2,1,2,1,4,3,1,1994,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Eastern ,274,Western ,106,Urban,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,274,Urban,1986,Western ,106,Urban,1987,96,0,1934,64,1,3,1959,0,1,0,0,0,0,3,2,1,4,4,2,1959,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1996,100,0,1975,24,0,3,1996,11,0,0,1,0,2,1,2,1,4,4,3,1996,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,263,Western ,130,Rural,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,263,Rural,1990,Western ,106,Urban,1996,101,1,1971,28,0,3,1997,10,0,0,1,0,2,3,2,0,4,3,4,1990,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eastern ,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1979,102,0,1960,39,1,8,1978,8,0,0,1,0,2,1,2,1,4,4,3,1979,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
